,symboling,normalized-losses,make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price
2,0.6000000000000001,0.2975725844835793,0,1,0,1,2,2,0.23032069970845503,0.4492537313432834,0.44444444444444375,0.3833333333333333,0.5178432893716058,4,3,0.3433962264150943,5,1,27,0.125,20,10,0.16666666666666669,0.26315789473684204,16500
3,0.8,0.5183246073298429,1,1,0,0,3,1,0.3848396501457727,0.5298507462686568,0.5042735042735043,0.5416666666666665,0.3293250581846392,2,2,0.18113207547169813,5,13,24,0.1875,2,16,0.3055555555555555,0.368421052631579,13950
4,0.8,0.5183246073298429,1,1,0,0,3,0,0.37317784256559783,0.5298507462686568,0.5213675213675213,0.5416666666666665,0.5182311869666407,2,1,0.2830188679245283,5,13,24,0.0625,8,16,0.1388888888888889,0.1578947368421053,17450
5,0.8,0.2975725844835793,1,1,0,1,3,1,0.3848396501457727,0.5402985074626869,0.5128205128205119,0.4416666666666669,0.3952676493405741,2,1,0.2830188679245283,5,13,24,0.09375,4,16,0.16666666666666669,0.23684210526315785,15250
6,0.6000000000000001,0.486910994764398,1,1,0,0,3,1,0.5597667638483963,0.770149253731343,0.9487179487179489,0.6583333333333337,0.525989138867339,2,1,0.2830188679245283,5,13,24,0.09375,4,16,0.16666666666666669,0.23684210526315785,17710
7,0.6000000000000001,0.2975725844835793,1,1,0,0,4,1,0.5597667638483963,0.770149253731343,0.9487179487179489,0.6583333333333337,0.5686578743211792,2,1,0.2830188679245283,5,13,24,0.09375,4,16,0.16666666666666669,0.23684210526315785,18920
9,0.8,0.6649214659685865,2,1,0,1,3,2,0.425655976676385,0.5328358208955226,0.38461538461538414,0.5416666666666665,0.35182311869666405,2,2,0.17735849056603775,5,24,6,0.11250000000000004,1,18,0.27777777777777773,0.3421052631578947,16430
10,0.4,0.6649214659685865,2,1,0,0,3,2,0.425655976676385,0.5328358208955226,0.38461538461538414,0.5416666666666665,0.35182311869666405,2,2,0.17735849056603775,5,24,6,0.11250000000000004,1,18,0.27777777777777773,0.3421052631578947,16925
11,0.4,0.6439790575916231,2,1,0,1,3,2,0.425655976676385,0.5328358208955226,0.38461538461538414,0.5416666666666665,0.474010861132661,2,3,0.38867924528301884,5,16,17,0.125,11,2,0.22222222222222215,0.3157894736842105,20970
12,0.4,0.6439790575916231,2,1,0,0,3,2,0.425655976676385,0.5328358208955226,0.38461538461538414,0.5416666666666665,0.495345228859581,2,3,0.38867924528301884,5,16,17,0.125,11,2,0.22222222222222215,0.3157894736842105,21105
13,0.6000000000000001,0.2975725844835793,2,1,0,0,3,2,0.49271137026239087,0.7149253731343284,0.5641025641025639,0.6583333333333337,0.6078355314197053,2,3,0.38867924528301884,5,16,17,0.125,11,2,0.19444444444444448,0.23684210526315785,24565
14,0.4,0.2975725844835793,2,1,0,0,3,2,0.49271137026239087,0.7149253731343284,0.5641025641025639,0.6583333333333337,0.6757176105508145,2,3,0.558490566037736,5,30,23,0.0625,28,15,0.08333333333333331,0.1578947368421053,30760
15,0.4,0.2975725844835793,2,1,0,1,3,2,0.49271137026239087,0.7865671641791048,0.6495726495726499,0.4916666666666667,0.7339022498060512,2,3,0.558490566037736,5,30,23,0.0625,28,15,0.08333333333333331,0.1578947368421053,41315
16,0.4,0.2975725844835793,2,1,0,0,3,2,0.6822157434402332,0.8343283582089551,0.9059829059829063,0.7083333333333335,0.7823894491854151,2,3,0.558490566037736,5,30,23,0.0625,28,15,0.055555555555555525,0.10526315789473684,36880
18,0.6000000000000001,0.1727748691099476,3,1,0,1,2,1,0.23032069970845503,0.22089552238805998,0.28205128205128194,0.3500000000000001,0.14972847168347558,2,2,0.10943396226415092,1,7,13,0.16249999999999998,43,15,0.6944444444444444,0.7105263157894737,6295
19,0.4,0.08376963350785338,3,1,0,0,3,1,0.23032069970845503,0.2641791044776123,0.28205128205128194,0.3500000000000001,0.1633048875096974,2,2,0.10943396226415092,1,7,13,0.16249999999999998,43,15,0.6944444444444444,0.7105263157894737,6575
20,0.6000000000000001,0.27748691099476436,4,1,0,1,2,1,0.20699708454810528,0.2417910447761198,0.29914529914529897,0.24999999999999956,0.15050426687354534,2,2,0.10943396226415092,1,4,19,0.150625,41,16,0.6666666666666665,0.6578947368421053,5572
21,0.6000000000000001,0.27748691099476436,4,1,0,1,2,1,0.20699708454810528,0.2417910447761198,0.29914529914529897,0.24999999999999956,0.15050426687354534,2,2,0.10943396226415092,1,4,19,0.15000000000000002,41,16,0.49999999999999994,0.5789473684210527,6377
22,0.6000000000000001,0.27748691099476436,4,1,1,1,2,1,0.20699708454810528,0.2417910447761198,0.29914529914529897,0.24999999999999956,0.24825446082234293,2,2,0.139622641509434,5,7,23,0.03749999999999998,2,16,0.3055555555555555,0.368421052631579,7957
23,0.6000000000000001,0.43455497382198954,4,1,0,0,2,1,0.20699708454810528,0.2417910447761198,0.29914529914529897,0.23333333333333384,0.18580294802172226,2,2,0.10943396226415092,1,4,19,0.15000000000000002,41,16,0.49999999999999994,0.5789473684210527,6229
24,0.6000000000000001,0.43455497382198954,4,1,0,0,3,1,0.20699708454810528,0.2417910447761198,0.29914529914529897,0.23333333333333384,0.1943366951124903,2,2,0.10943396226415092,1,4,19,0.15000000000000002,41,16,0.49999999999999994,0.5789473684210527,6692
25,0.6000000000000001,0.43455497382198954,4,1,0,0,3,1,0.20699708454810528,0.2417910447761198,0.29914529914529897,0.23333333333333384,0.1943366951124903,2,2,0.10943396226415092,1,4,19,0.15000000000000002,41,16,0.49999999999999994,0.5789473684210527,7609
26,0.6000000000000001,0.43455497382198954,4,1,1,0,3,1,0.20699708454810528,0.2417910447761198,0.29914529914529897,0.23333333333333384,0.2726920093095423,2,2,0.139622641509434,5,7,23,0.03749999999999998,2,16,0.3055555555555555,0.368421052631579,8558
27,0.2,0.23560209424083772,4,1,0,0,4,1,0.4868804664723032,0.5,0.3675213675213671,0.9999999999999996,0.40612878200155156,2,2,0.23018867924528302,1,18,26,0.09375,52,10,0.3055555555555555,0.368421052631579,8921
28,1.0,0.41884816753926707,4,1,1,1,2,1,0.2711370262390673,0.4791044776119402,0.5128205128205119,0.20000000000000062,0.513188518231187,2,2,0.3584905660377358,4,28,34,0.0,18,10,0.16666666666666669,0.21052631578947367,12964
30,0.8,0.3769633507853403,5,1,0,1,2,1,0.0,0.052238805970149294,0.3076923076923075,0.24999999999999956,0.12839410395655548,2,2,0.11698113207547167,0,2,25,0.13749999999999996,46,20,0.49999999999999994,0.5789473684210527,6855
31,0.6000000000000001,0.1884816753926702,5,1,0,1,2,1,0.20699708454810528,0.13283582089552226,0.316239316239316,0.3999999999999999,0.1353762606671839,2,2,0.06792452830188678,0,2,10,0.19374999999999998,38,16,0.6944444444444444,0.6842105263157894,5399
