,Survived,Pclass,Age,SibSp,Parch,Fare,female,male,CA. 2343,1601,347082,3101295,347088,CA 2144,S.O.C. 14879,382652,LINE,PC 17757,C23 C25 C27,G6,B96 B98,C22 C26,D,F33,E101,F2,B49,E25,S,C,Q
0,0,1.0,0.2711736617240512,0.125,0.0,0.014151057562208049,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2,1,1.0,0.32143754712239253,0.0,0.0,0.015468569817999833,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
3,1,0.0,0.4345312892686604,0.125,0.0,0.10364429745562033,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,0,1.0,0.4345312892686604,0.0,0.0,0.015712553569072387,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
5,0,1.0,0.36792055349407915,0.0,0.0,0.01650950209357577,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
6,0,0.0,0.6732847449107816,0.0,0.0,0.10122885832000206,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7,0,1.0,0.01985423473234481,0.375,0.16666666666666666,0.04113566043083236,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
8,1,1.0,0.33400351847197784,0.0,0.3333333333333333,0.021730754366528396,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
11,1,0.0,0.723548630309123,0.0,0.0,0.051822148727810165,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
12,0,1.0,0.24604171902488062,0.0,0.0,0.015712553569072387,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
14,0,1.0,0.17064589092736868,0.0,0.0,0.015330377421392339,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
15,1,0.5,0.685850716260367,0.0,0.0,0.03122992013728673,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
17,1,0.5,0.36792055349407915,0.0,0.0,0.025374310111545468,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
18,0,1.0,0.38426740387031916,0.125,0.0,0.03513366015444757,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
19,1,1.0,0.36792055349407915,0.0,0.0,0.014102260811993537,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
20,0,0.5,0.4345312892686604,0.0,0.0,0.050748620223090936,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
21,1,0.5,0.4219653179190751,0.0,0.0,0.025374310111545468,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
22,1,1.0,0.18321186227695402,0.0,0.0,0.015671954672893913,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
23,1,0.0,0.34656948982156316,0.0,0.0,0.06929138530460494,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
24,0,1.0,0.09525006282985675,0.375,0.16666666666666666,0.04113566043083236,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
25,1,1.0,0.4722292033174164,0.125,0.8333333333333333,0.06126431989431795,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
26,0,1.0,0.36792055349407915,0.0,0.0,0.014102260811993537,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
28,1,1.0,0.36792055349407915,0.0,0.0,0.01537917417160685,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
29,0,1.0,0.36792055349407915,0.0,0.0,0.015411575213749286,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
30,0,0.0,0.49736114601658704,0.0,0.0,0.05410739813385612,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
32,1,1.0,0.36792055349407915,0.0,0.0,0.015126992566498259,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
33,0,0.5,0.8240764011058055,0.0,0.0,0.020494635090094415,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
35,0,0.0,0.5224930887157577,0.125,0.0,0.10149724044618187,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
36,1,1.0,0.36792055349407915,0.0,0.0,0.014110458666029575,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
37,0,1.0,0.2586076903744659,0.0,0.0,0.015712553569072387,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
38,0,1.0,0.22090977632571,0.25,0.0,0.03513366015444757,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
39,1,1.0,0.17064589092736868,0.125,0.0,0.021942337075458514,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
40,0,1.0,0.49736114601658704,0.125,0.0,0.018493968331299484,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
41,0,0.5,0.33400351847197784,0.125,0.0,0.04098927018018883,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
42,0,1.0,0.36792055349407915,0.0,0.0,0.015411575213749286,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
44,1,1.0,0.2334757476752953,0.0,0.0,0.01537917417160685,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
45,0,1.0,0.36792055349407915,0.0,0.0,0.015712553569072387,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
46,0,1.0,0.36792055349407915,0.125,0.0,0.030253985132996517,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
47,1,1.0,0.36792055349407915,0.0,0.0,0.015126992566498259,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
48,0,1.0,0.36792055349407915,0.25,0.0,0.04231498029001666,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
49,0,1.0,0.22090977632571,0.125,0.0,0.034743286152731485,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
51,0,1.0,0.2586076903744659,0.0,0.0,0.01522458606692728,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
53,1,0.5,0.35913546117114853,0.125,0.0,0.050748620223090936,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
55,1,0.0,0.36792055349407915,0.0,0.0,0.06929138530460494,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
56,1,0.5,0.2586076903744659,0.0,0.0,0.020494635090094415,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
57,0,1.0,0.35285247549635584,0.0,0.0,0.014110458666029575,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
58,1,0.5,0.05755214878110078,0.125,0.3333333333333333,0.05416439273810667,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
60,0,1.0,0.2711736617240512,0.0,0.0,0.014110458666029575,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
61,1,0.0,0.4722292033174164,0.0,0.0,0.15614960068643363,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
62,0,0.0,0.5601910027645137,0.125,0.0,0.16293234896625058,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
64,0,0.0,0.36792055349407915,0.0,0.0,0.05410739813385612,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
65,1,1.0,0.36792055349407915,0.125,0.16666666666666666,0.029757819776815374,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
67,0,1.0,0.2334757476752953,0.0,0.0,0.015923941091001644,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
68,1,1.0,0.20834380497612465,0.5,0.3333333333333333,0.015468569817999833,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
69,0,1.0,0.32143754712239253,0.25,0.0,0.016908073949327893,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
